source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,0.700000,-0.0720000,0.0171800,0.0460000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,1.200000,-0.0247000,0.0166400,0.0478000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,1.700000,0.0254000,0.0161500,0.0488000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,2.200000,0.0747000,0.0156800,0.0502000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,2.700000,0.1243000,0.0152500,0.0515000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,3.200000,0.1752000,0.0149000,0.0525000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,3.700000,0.2268000,0.0146200,0.0533000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,4.200000,0.2787000,0.0144400,0.0540000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,4.700000,0.3325000,0.0143700,0.0541000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,5.200000,0.3865000,0.0143800,0.0542000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,5.700000,0.4409000,0.0144900,0.0541000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,6.200000,0.4954000,0.0146900,0.0538000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,6.700000,0.5502000,0.0149800,0.0534000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,7.200000,0.6049000,0.0153700,0.0529000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,7.700000,0.6595000,0.0158700,0.0522000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,8.200000,0.7136000,0.0165000,0.0515000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,8.700000,0.7666000,0.0172800,0.0507000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,9.200000,0.8177000,0.0182100,0.0502000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,9.700000,0.8663000,0.0192200,0.0497000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,10.200000,0.9116000,0.0202700,0.0493000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,10.700000,0.9518000,0.0215600,0.0494000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,11.200000,0.9835000,0.0230400,0.0504000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,11.700000,0.9954000,0.0254100,0.0528000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,12.200000,1.0021000,0.0300900,0.0518000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,12.700000,1.0076000,0.0344500,0.0518000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,13.200000,1.0173000,0.0385500,0.0526000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-5.000000,-0.5087000,0.0167600,0.0087000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-4.500000,-0.4663000,0.0143900,0.0109000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-4.000000,-0.4174000,0.0137200,0.0122000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-3.500000,-0.3699000,0.0131000,0.0141000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-3.000000,-0.3212000,0.0123200,0.0158000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,0.0,-2.500000,-0.2800000,0.0113400,0.0204000
